Timestamp,EnteringGradeLevel,District,BirthMonth,OLSATVerbalScore,OLSATVerbalPercentile,NNATNonVerbalRawScore,NNATNonVerbalPercentile,OverallScore,SchoolPreferences,SchoolAssigned,Willyouenrollthere,TimestampYear
2018-04-02,kindergarten,28,December,28,99,42,99,99,"NEST+M, otherwise stay at PS174Q G&T",NA,"Have 7th grade sib at NEST+M, so hope to get in!",2018
2018-06-04,kindergarten,3,February,29,99,42,99,99,"Anderson, TAG",NA,"Currently in District 3 G&T, yes will switch",2018
2018-04-11,kindergarten,14,January,25,99,46,99,99,"NEST+M, Andreson, district",NA,NA,2018
2018-04-16,kindergarten,2,August,26,99,40,99,99,Anderson,NA,yes,2018
2018-04-17,kindergarten,30,February,25,99,37,98,99,"Q300, NEST, PS 150(district)",NA,NA,2018
2018-04-24,kindergarten,13,September,23,98,37,99,99,"Anderson, PS9 Brooklyn",PS9 Brooklyn,Yes,2018
2018-06-01,kindergarten,3,May,26,99,40,99,99,"Anderson, TAG, 166, 163",TAG,Not sure.,2018
NA,kindergarten,2,February,0,99,0,99,99,"Nest, Anderson, TAG, LL Q300, PS33",PS33,NA,NA
2018-06-04,kindergarten,17,September,24,99,36,99,99,"Anderson, NEST, Q300",Anderson,Yes,2018
2018-06-05,kindergarten,2,March,26,99,47,99,99,"Anderson, Nest, LL, PS11",Anderson,Yes,2018
2018-06-05,kindergarten,27,November,27,99,44,99,99,"Nest, BSI, TAG, 30th Ave School",TAG,Unsure,2018
2018-06-07,kindergarten,30,January,26,99,37,98,99,"NEST+M, Q300, PS166/PS150 (District)",PS 166,Yes,2018
NA,kindergarten,25,January,0,99,48,99,99,NA,NA,NA,NA
NA,kindergarten,19,July,1,99,44,99,99,"BSI, Q300",district,No,NA
NA,kindergarten,26,December,29,99,42,99,99,BSI,NA,NA,NA
2018-03-27,first,2,January,24,97,44,99,98,"Nest, Anderson,LL, Tag, 11,33,130",33,Yes,2018
2018-03-27,first,2,August,22,97,37,99,98,"TAG, lower lab",NA,NA,2018
2018-03-27,first,2,January,28,99,36,96,98,BSI,NA,NA,2018
2018-03-27,second,13,August,23,98,34,98,98,NEST+M,PS 9 Brooklyn G&T,NO,2018
2018-03-27,kindergarten,28,March,26,95,46,99,98,anderson,NA,NA,2018
